,artist,track,uri,time,ms_played
23168,REI AMI,do it right (feat. Aminé),spotify:track:6T3l1Ov2VpZdmqN7PLcMxP,2022-05-24 20:07,1460
23169,SZA,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,2022-05-24 20:07,770
23170,Aminé,Spice Girl,spotify:track:4HW5kSQ8M2IQWZhSxERvla,2022-05-24 20:07,800
23171,Taylor Swift,Getaway Car,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,2022-05-24 20:08,820
23172,Disclosure,Latch,spotify:track:1DunhgeZSEgWiIYbHqXl0c,2022-05-24 20:12,255866
23173,Pomplamoose,Latch,spotify:track:0EdB8xgstrbTFu9XkMn6JJ,2022-05-24 20:16,275777
23174,The Last Revel,Engine Trouble,spotify:track:3J2SefFgx68fw3RI2x2OLx,2022-05-24 20:21,285306
23175,St. Paul & The Broken Bones,3000 AD Mass,spotify:track:3olromjPhWiwgfhv9uvjNe,2022-05-24 20:24,1100
23176,Jason Isbell and the 400 Unit,Wooden Ships,spotify:track:0snvfcaD3pbOMfyMwQ2QaK,2022-05-24 20:24,790
23177,Soundgarden,Blow Up The Outside World,spotify:track:5TLA7O0ogTqwZHbS3ERabw,2022-05-24 20:24,1110
23178,Blimes and Gab,Shellys (It’s Chill),spotify:track:3OLFn4rtGKjKlh7FlRFmdg,2022-05-24 20:24,700
23179,Major Lazer,Tied Up,spotify:track:0JyO0EQ4INDF59hWiXNtt4,2022-05-24 20:24,760
23180,Pomplamoose,I Will Survive + This Love Mashup,spotify:track:1lTwiA9jJFH2FAnsEP12I3,2022-05-24 20:24,183823
23181,The Cadillac Three,Circles,spotify:track:5woKIzrEkkeOvfaNFagz4c,2022-05-24 20:24,4205
23182,Louis The Child,Bittersweet,spotify:track:3kV7Kf6VwBby1Q4mVUFRdH,2022-05-24 20:24,780
23183,Fruition,Baby Let's Go,spotify:track:3evJDg7q1pA9wGTDoBfbOc,2022-05-24 20:24,1060
23184,The Wood Brothers,Happiness Jones,spotify:track:18VoO998h6uVlEWgtKzQug,2022-05-24 20:24,1150
23185,Myles Cameron,Yellow,spotify:track:63JI1eChXTXh8tucea76Xd,2022-05-24 20:24,710
23186,Gallant,Put That on Everything - Recorded at Spotify Studios NYC,spotify:track:1h86CHk3Oqjt99XgDeVwsS,2022-05-24 20:25,1150
23187,Pomplamoose,Everybody Wants to Rule the World,spotify:track:5ZN5JSMpOGT5K1mxjmgOA6,2022-05-24 20:28,198267
23188,Paul Davis,'65 Love Affair,spotify:track:5nBp8F6tekSrnFg8G2Pvug,2022-05-24 20:29,860
23189,Kevin Gates,Time for That,spotify:track:1gZNqH0rDxD1mXLeul1Qq7,2022-05-24 20:29,860
23190,Krewella,No Control,spotify:track:5yFhOx23Dnz3h7hplodAgf,2022-05-24 20:29,1100
23191,Jharrel Jerome,For Real (feat. Kemba),spotify:track:05IZnB0bFIEl6fIPITzfqg,2022-05-24 20:29,48932
23192,Diplo,Turn Back Time,spotify:track:27bZ77uG7mEhydpaPvThR6,2022-05-24 20:29,980
23193,DLG.,Never Know,spotify:track:3Y72u1Oyw8l1EAdM32f3hc,2022-05-24 20:29,2360
23194,Jimi Hendrix,Purple Haze,spotify:track:0wJoRiX5K5BxlqZTolB2LD,2022-05-24 20:29,1120
23195,Electric Light Orchestra,Songbird,spotify:track:2V40EjVJt86gOCZzI7Fm56,2022-05-24 20:29,960
23196,Tame Impala,The Moment,spotify:track:1UYj8qTWjneZJDVjUMwMub,2022-05-24 20:29,700
23197,Prince,Controversy,spotify:track:417BgvwuyihreDKPXbp2kS,2022-05-24 20:29,720
23198,Frank Ocean,Chanel,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,2022-05-24 20:32,210285
23199,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),spotify:track:0v9Wz8o0BT8DU38R4ddjeH,2022-05-24 20:36,750
23200,Calvin Harris,Ready For The Weekend,spotify:track:0eSnoK1snhb1MN8yo7Re3m,2022-05-24 20:36,217986
23201,Caamp,Peach Fuzz,spotify:track:7yJbLez2ieMI2PBybVp8Nu,2022-05-24 20:36,4378
23202,Ritt Momney,Put Your Records On,spotify:track:6AGOKlMZWLCaEJGnaROtF9,2022-05-24 20:36,530
23203,Mac Miller,Self Care,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,2022-05-24 20:36,940
23204,Mac Miller,Self Care,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,2022-05-24 20:42,345133
